media_movil_6m,lag_3,vix,oro_return,eurusd,lag_12,lag_6,volatilidad_3m,inflacion_usa,sp500_return,tipos_fed,curva10Y2Y,activo_return,target
0.32355062166849774,-0.08359139201237376,18.309999465942383,0.04763111137978071,1.2590018510818481,-0.0754842209637473,0.06183677307480839,0.09590365710007907,0.020352035203520247,0.05076554077889206,0.98,2.43,0.02199835892069313,0.055685639837179224
0.3272459904352824,0.10472943230126286,16.6299991607666,-0.03247534184164658,1.2452058792114258,0.0020944976887715683,0.10598286530571444,0.07430065446695296,0.020262869660460092,0.017276386950755285,1.0,2.32,0.055685639837179224,0.06028392839775121
0.3305169492959976,-0.08650008090934103,14.550000190734863,0.022959945186728614,1.253007173538208,0.0452640213655473,0.07257955460499965,0.02090359611572136,0.01688453159041381,0.01220897373761054,1.01,2.33,0.06028392839775121,0.13043434871145432
0.3462974429130554,0.02199835892069313,16.739999771118164,0.0385613876751183,1.231299638748169,-0.05796223775500886,-0.08359139201237376,0.041891914904602395,0.017400761283306032,-0.01635891961786684,1.0,2.26,0.13043434871145432,-0.04659766295502088
0.35351352393627167,0.055685639837179224,17.190000534057617,-0.09431310307571206,1.198293685913086,0.005659161236785559,0.10472943230126286,0.08914883547095948,0.022925764192139875,-0.016790751960348183,1.0,2.22,-0.04659766295502088,0.08843986590526876
0.37136638661225635,0.06028392839775121,15.5,0.01808785529715773,1.2198989391326904,0.2623060451812178,-0.08650008090934103,0.09250135489235786,0.028977583378895444,0.01208345009735412,1.0,2.12,0.08843986590526876,0.15965794086063934
0.3992568850517273,0.13043434871145432,14.34000015258789,-0.00355328400122934,1.218397855758667,0.06183677307480839,0.02199835892069313,0.10476045891016084,0.03167667941015839,0.017988998771432563,1.03,1.92,0.15965794086063934,-0.006145115571516202
0.4236767590045929,-0.04659766295502088,15.319999694824219,-0.004075410286911052,1.2016053199768066,0.10598286530571444,0.055685639837179224,0.08317550364896822,0.02939575394665228,-0.034290519520026264,1.26,1.82,-0.006145115571516202,0.06648105850046515
0.4500691791375478,0.08843986590526876,15.289999961853027,0.028362927527074033,1.2178043127059937,0.07257955460499965,0.06028392839775121,0.08311352285573037,0.025474254742547275,0.0022873503233691306,1.43,1.72,0.06648105850046515,0.12351368227282733
0.4793080786863963,0.15965794086063934,13.34000015258789,0.04130943689785771,1.2433944940567017,-0.08359139201237376,0.13043434871145432,0.06498549221830713,0.025391680172879516,0.009363875526838816,1.61,1.51,0.12351368227282733,0.3522579168005684
